"Iteration","cL Monitor: cL Monitor"
1.0,-0.01698967562693698
2.0,0.09361522969580564
3.0,0.15527370942803184
4.0,0.20993396410883391
5.0,0.2597183824337465
6.0,0.3035167984484659
7.0,0.3408540714977714
8.0,0.37196772211400503
9.0,0.39724440679635153
10.0,0.4172353643115652
11.0,0.4327169632513552
12.0,0.4444972259365711
13.0,0.45324094573650076
14.0,0.4592788947977904
15.0,0.463113889806644
16.0,0.4653035336439721
17.0,0.4662932548963466
18.0,0.4664601123099783
19.0,0.4661234400945542
20.0,0.46552361781480306
21.0,0.4648173074906393
22.0,0.46411157258900715
23.0,0.4634755488008088
24.0,0.4629372894440985
25.0,0.46246543488287295
26.0,0.4619990801309494
27.0,0.46145844515412154
28.0,0.46073450820367656
29.0,0.4596866640392552
30.0,0.4581338267325156
31.0,0.45584891497216934
32.0,0.452545143521579
33.0,0.44788810341090607
34.0,0.44149729560837375
35.0,0.432954646619074
36.0,0.42181051172237427
37.0,0.4076165403053821
38.0,0.39004779685789875
39.0,0.36896923267128207
40.0,0.3445251627611324
41.0,0.31722415410241833
42.0,0.28785364594364066
43.0,0.257749366156228
44.0,0.22859253891947462
45.0,0.2020903452504429
46.0,0.17968054928723412
47.0,0.16226433305300217
48.0,0.1501323620851787
49.0,0.14300706407311053
50.0,0.1402457679969058
51.0,0.14079313902136353
52.0,0.1437327391076313
53.0,0.14822108772664314
54.0,0.15358878487296046
55.0,0.15929562220474594
56.0,0.16496804710892202
57.0,0.17054069256723764
58.0,0.1756418598997991
59.0,0.18033524776438684
60.0,0.18452695885320805
61.0,0.1882570484141684
62.0,0.19155546453795733
63.0,0.19447890315846506
64.0,0.19707171048336344
65.0,0.1993758140397143
66.0,0.20143270249939746
67.0,0.20327095649847007
68.0,0.20491414951838305
69.0,0.20639214591178237
70.0,0.20771263939073184
71.0,0.20889082872994055
72.0,0.20993520173241567
73.0,0.21085735565387193
74.0,0.21165450916697914
75.0,0.21232840487338817
76.0,0.21287511883824903
77.0,0.21328875906599765
78.0,0.21356205432774103
79.0,0.21368550830276403
80.0,0.21364244233372415
81.0,0.2134343099399806
82.0,0.2130433456461929
83.0,0.21244218161684772
84.0,0.21160227201759774
85.0,0.21053518416427827
86.0,0.20924375886017538
87.0,0.20773749365644173
88.0,0.2060480081994696
89.0,0.2041804313649292
90.0,0.20213540234125893
91.0,0.1999144049968353
92.0,0.19773294758908966
93.0,0.19564037750158456
94.0,0.19397102677639638
95.0,0.19279333326479622
96.0,0.1919813071771121
97.0,0.19148773688765497
98.0,0.19120299314525596
99.0,0.19099328278744201
100.0,0.1909409709685987
101.0,0.19120206373253504
102.0,0.19197403841810998
103.0,0.19321711349202025
104.0,0.19479378835042865
105.0,0.1961615604112764
106.0,0.19792353419556935
107.0,0.19957420728959124
108.0,0.20125503437185563
109.0,0.2029924100796939
110.0,0.203258365755535
111.0,0.20368710784982885
112.0,0.2040439640115075
113.0,0.20410832683480246
114.0,0.20408772161664043
115.0,0.20398424418353964
116.0,0.20388128351261095
117.0,0.20377788968753172
118.0,0.20367237430804347
119.0,0.20356124532395875
120.0,0.20344035942553487
121.0,0.20334044314101135
